taxonid,fullname,Author
4193,Moerella juvenilis,
4201,Monilea dividua,
4203,Monodonta adelaidae,
4204,Monodonta aethiops,
4205,Monodonta argyrostoma,
4207,Monodonta concamerata,
4210,Monodonta mutabilis,
4213,Monodonta punctulata,
4214,Monodonta rudis,
4215,Monodonta torri,
4216,Monodonta xanthostigma,
4220,Morula cariosa,
4222,Morula heptagonalis,
4224,Morula marginalba,
4226,Morula nodosa,
4232,Mundiphaedusa ducalis,
4236,Murex brunneus,
4237,Murex cailleti,
4238,Murex chichoreum,
4239,Murex cornutus,
4240,Murex elenensis,
4242,Murex haustellum,
4243,Murex kiiensis,
4246,Murex messorius,
4248,Murex purdyae,
4250,Murex rectirostris,
4254,Murex torrefactus,
4256,Murex triqueter,
4257,Murex triremis,
4259,Murexiella festivus,
4260,Murexiella gemma,
4262,Muricanthus nigritus,
4263,Muricanthus radix,
4264,Muricopsis lappa,
4265,Muricopsis multiangulata,
4266,Muricopsis ostrearum,
4267,Muricopsis squamulata,
4278,Myseka bidentata,
4287,Mytilus meridionalis,
4289,Mytilus viridis,
4290,Nacella boninensis,
4291,Cellana exarata,
4295,Nacella toreuma,
4300,Nassarius acularis,
4302,Nassarius albus,
4306,Nassarius arcularius,
4311,Nassarius canoides,
4317,Nassarius corniculum,
4324,Nassarius festivus,
4330,Nassarius gracilis,
4331,Nassarius grandiosus,
4336,Nassarius jonasi,
4340,Nassarius luteostomus,
4343,Nassarius miga,
4347,Nassarius mutabilis,
4351,Nassarius particeps,
4357,Nassarius polistes,
4360,Nassarius reticulatus,
4361,Nassarius rufulus,
4362,Nassarius scopularus,
4368,Nassarius tegulus,
4371,Nassarius trivittatus,
4372,Nassarius vibex,
4374,Nassarius vitiensis,
4375,Nassarius vius,
4376,Nata aequiplicata,
4378,Nata tarachodes,
4380,Nata viridescens,
4384,Natalina kraussi,
4389,Natica catena,
4391,Natica cayennensis,
4392,Natica cernica,
4400,Natica lineata,
4406,Natica napus,
4408,Natica poliana,
4411,Natica sebae,
4419,Negyrina subdistorta,
4423,Neocancilla ponsonbyi,
4425,Neocardia angustata,
4426,Neocolina ponsonbyi,
4427,Neosimnia acicularis,
4428,Neosimnia spelta,
4429,Neothais scalaris,
4430,Neothauma tanganyicense,
4441,Nerita antillarum,
4453,Nerita josephine,
4459,Nerita reticulata,
4469,Neritina cariosa,
4474,Neritina luteofasciata,
4479,Neritina reclivata,
4494,Nitidella occulata,
4500,Nodilittorina tuberculata,
4505,Northia plumbea,
4506,Notirus crenata,
4507,Notirus fabagela,
4512,Notoacmea scabrilirata,
4514,Notocallista ringi,
4515,Notocypraea mayi,
4518,Notoplax producta,
4519,Notospisula parva,
4521,Nucella cingulata,
4529,Nucula hartvigiana,
4536,Obortio natalensis,
4538,Ocenebra cala,
4539,Ocenebra circumtexta,
4540,Ocenebra crassilabrum,
4541,Ocenebra erinaca,
4544,Ocenebra fenestrata,
4545,Ocenebra interfossa,
4546,Ocenebra kieneri,
4547,Ocenebra poulsoni,
4550,Ocenebra scrobiculata,
4551,Ocenebra sperata,
4552,Ochetoclavis pilsbryi,
4553,Ocinebra natalensis,
4554,Octopus granulatus,
4555,Odostomia io,
4558,Odostomia leisurtalis,
4560,Odostomia mympha,
4561,Odostomia neptini,
4562,Odostomia obeliscus,
4564,Odostomia scitula,
4565,Odostomia turtoni,
4576,Oliva carreola,
4582,Oliva galiola,
4586,Oliva larmoine,
4588,Oliva mamorata,
4596,Oliva polpasta,
4599,Oliva reticulatis,
4600,Oliva rufanula,
4603,Oliva sayana,
4613,Olivancillaria aquatiles,
4621,Olivella diversas,
4628,Olivia cruenta,
4632,Oopelta flavascens,
4637,Opalia marginata,
4641,Opeas peringueyi,
4642,Opeas strigile,
4643,Opeas tugelensis,
4645,Ophicardelus costellaris,
4659,Oxychona layardi,
4667,Paluoina paulucciana,
4678,Papuina meditata,
4679,Papuina tayloriana,
4680,Papustyla pulcherrima,
4682,Papyridea papyracea,
4684,Paracuneus platystoma,
4685,Paralaoma hottentota,
4690,Paratrophon exsculptus,
4693,Parvicardium turtoni,
4694,Parviperna rupella,
4702,Scutellastra mexicana,
4708,Patellanax perplexa,
4716,Pecten alba,
4720,Pecten maximus,
4725,Pecten sentis,
4726,Pecten speciosus,
4727,Pecten spondyloideum,
4729,Pecten vexillum,
4730,Pecten ziczac,
4731,Pedinogyra allanii,
4734,Penion adustus,
4742,Peringia ulvae,
4750,Peristernia leucothea,
4754,Perna galloprovincialis,
4757,Peronaea gaimardi,
4759,Persicula dulcis,
4760,Persicula lepta,
4762,Persicula minuta,
4764,Euterebra tristis,
4765,Duplicaria ustulata,
4767,Petricola pholadiformis,
4769,Pexocodakia rugifera,
4770,Phaedusa sieboloii,
4773,Phalium bisculcatum,
4778,Phalium ericinaceus,
4779,Phalium faurotis,
4783,Phalium ponderosum,
4791,Phasianella kochii,
4792,Phasianella modesta,
4796,Phasianella virgo,
4797,Phaxas decipiens,
4799,Phenacovolva beckeri,
4801,Phenacovolva honkakujiana,
4807,Philbertia capensis,
4812,Philobrya angulata,
4816,Phos mexicanus,
4818,Phos rectum,
4819,Phos roseatus,
4822,Phyllonotus pomum,
4823,Phyllonotus teguis,
4824,Physa acuta,
4825,Physa eliptica,
4826,Physa integra,
4827,Physa tortuosa,
4828,Physopsis africana,
4830,Pila appressa,
4831,Pila cancaliculatus,
4832,Pila hanleyanus,
4833,Pila haustrum,
4834,Pila megastoma,
4836,Pila palulosa,
4837,Pila sordidus,
4838,Pila zonata,
4848,Pisania crenilabrum,
4855,Pitar citrina,
4857,Pitar hebraea,
4863,Placamen calophylla,
4869,Placostylus elobatus,
4878,Planaxis brasiliana,
4879,Planaxis labiosus,
4880,Planaxis lineatus,
4882,Planaxis niger,
4893,Pleurodonte rostrata,
4900,Pododesmus squama,
4906,Polinices catena,
4909,Polinices duplicatus,
4914,Polinices mamilla,
4917,Polinices napus,
4918,Polinices opaca,
4920,Polinices plumbeus,
4925,Polinices salangonensis,
4928,Polinices solidus,
4933,Polygyra albolabris,
4934,Polygyra auriformis,
4935,Polygyra mesodon,
4936,Polymesoda sarasotaensis,
4937,Polymita brochers,
4942,Powelliphanta busbyi,
4952,Primovula carnea,
4953,Primovula sinensis,
4956,Proptera alata,
4970,Psammocola radiata,
4971,Psammotellina capensis,
4972,Pseudactaeon albus,
4973,Pseudochama cornuta,
4977,Pseudoliva ancilla,
4980,Pseudoneptunea multangulus,
4982,Pseudoraphitoma alfredi,
4983,Pseudostomatella imbricta,
4989,Pteria chinensis,
4993,Pteropurpura capensis,
5003,Pterynotus argasi,
5006,Pterynotus triquetor,
5007,Ptilototheca soutpansbergensis,
5009,Ptychodon pseudoleioda,
5015,Pupa fumata,
5019,Puperita japonica,
5021,Puperita tristis,
5023,Pupilla tetrodus,
5029,Puriperna dentifera,
5030,Purpura aperta,
5032,Purpura haustorium,
5033,Purpura haustrum,
5035,Purpura patula,
5039,Pusia bernhardina,
5040,Pusia ebenus,
5041,Pusia osiridis,
5042,Pusia patriarcholis,
5043,Pusia patula,
5046,Pusiostoma mendicaria,
5049,Pygmipanda atomata,
5050,Pyramidalis mitralis,
5052,Pyramidella auriscati,
5053,Pyramidella capensis,
5059,Pyramidula rufestris,
5062,Pyrene amphitrite,
5063,Pyrene apicata,
5064,Pyrene aplicata,
5067,Pyrene burnupi,
5068,Pyrene consanguinea,
5069,Pyrene filmerae,
5072,Pyrene fuscata,
5073,Pyrene haemastoma,
5074,Pyrene kraussi,
5077,Pyrene mercatoria,
5078,Pyrene metella,
5079,Pyrene miltostoma,
5081,Pyrene mutabilis,
5085,Pyrene pyramidalis,
5086,Pyrene rustica,
5087,Pyrene separanda,
5088,Pyrene shepstonensis,
5089,Pyrene strombiformis,
5090,Pyrene sulcata,
5091,Pyrene tayloriana,
5094,Pyrene vincta,
5095,Pyrene whitechurchi,
5100,Pythia striata,
5102,Quadrula cahabensis,
5103,Quadrula metaneura,
5109,Ranella denticola,
5113,Ranularia moritincta,
5119,Ratifusus alfredensis,
5124,Rhachistia chiradzuluensis,
5130,Rhinoclavis echinatum,
5133,Rhinoclavis labiosum,
5135,Rhinoclavis nesioticum,
5137,Rhinoclavis pulchra,
5139,Rhinoclavis sinuata,
5141,Rhysota ovum,
5142,Rhytida confusa,
5147,Rissoina bryerca,
5151,Rissoina rietensis,
5153,Rissoina tridentata,
5155,Roxania simillima,
5157,Saccostrea crenulifera,
5160,Sanguinolaria cruenta,
5161,Sanguinolaria olivacea,
5162,Sanguinolaria sanguinolenta,
5164,Saxicava rugosa,
5179,Scutellastra natalensis,
5189,Seapharea satewi,
5194,Selatodryas luteosoma,
5195,Selatodryas roseosoma,
5205,Serpulorbis natalensis,
5206,Shaskyus festivus,
5208,Sheldonia aloicola,
5210,Sheldonia asthenes,
5212,Microkerkus chrysoprasinus,
5216,Sheldonia crawfordi,
5217,Sheldonia fingolandensis,
5218,Microkerkus fuscicolor,
5220,Kerkophorus inunctus,
5221,Microkerkus leucospira,
5222,Sheldonia lightfooti,
5223,Kerkophorus melvilli,
5224,Sheldonia monsmaripi,
5225,Sheldonia natalensis,
5226,Sheldonia orientalis,
5228,Sheldonia plain,
5232,Sheldonia small,
5233,Sheldonia trotteriana,
5235,Sheldonia warreni,
5241,Siliquaria australis,
5242,Siliquaria chuni,
5243,Siliquaria cumingii,
5244,Siliquaria ponderosa,
5245,Siliquaria weldii,
5246,Siliquaria wilmanae,
5256,Siphonalia glans,
5259,Siphonalia signum,
5261,Siphonaria algerica,
5269,Siphonaria deflexa,
5283,Sitala jenynsi,
5284,Smaragdia glabrata,
5288,Ilanga agulhaensis,
5293,Solecurtus sulcatus,
5296,Solemya parkinsoni,
5310,Soletellina boeddinghausi,
5311,Soletellina lunulata,
5312,Soletellina nitida,
5313,Soletellina olivacea,
5315,Solmopina macfarlanei,
5317,Sphaerospira mulgravensis,
5318,Sphaerospira rainbirdi,
5319,Spirula solida,
5321,Spisula aequilateralis,
5322,Spisula polynyma,
5337,Stabilima strangei,
5339,Standella aegyptiaca,
5341,Stenomelania denisoniensis,
5342,Stenotrema fraterna,
5348,Streptopinna saccata,
5350,Strigatella crassa,
5351,Strigatella limbifera,
5352,Strigatella litterata,
5354,Strigatella paupercula,
5355,Strigatella scutulata,
5361,Strombus aurisdinae,
5364,Strombus canarium,
5368,Strombus dolomena,
5369,Strombus epidromis,
5372,Strombus fusiformis,
5374,Strombus gibberulus,
5377,Strombus granulatus,
5378,Strombus labiatus,
5381,Strombus luhuanus,
5384,Strombus minimus,
5385,Strombus mutabilis,
5386,Strombus peruvianus,
5392,Strombus triconis,
5393,Strombus urceus,
5397,Strophitus rugosus,
5403,Subeulima magnifica,
5405,Succinea exarata,
5408,Succinea salleana,
5410,Sunetta contempta,
5413,Sunetta scripta,
5415,Swainsonia ocellata,
5427,Tapes literata,
5428,Tapes philippinarum,
5430,Tapes variegata,
5432,Tawera gallinula,
5437,Tectarius muricatus,
5449,Tegula lischkei,
5450,Tegula panamanica,
5457,Tegurum exutum,
5458,Teinostoma africana,
5465,Tellina apelina,
5470,Tellina deltoides,
5480,Tellina littoralis,
5487,Tellina perna,
5495,Tellina scobinata,
5498,Tellina tampaensis,
5503,Tellina trilaterata,
5519,Duplicaria badia,
5531,Terebra diplomeriza,
5534,Oxymeris felina,
5538,Terebra impages,
5540,Euterebra kowiensis,
5542,Hastulopsis loisae,
5545,Terebra micans,
5550,Terebra peasii,
5551,Euterebra planecosta,
5561,Hastulopsis suspensa,
5566,Hastula vallesia,
5571,Thais alouina,
5572,Thais armigera,
5573,Thais ascensionis,
5574,Thais biselaris,
5575,Thais biserialis,
5576,Thais bronni,
5577,Thais bufo,
5582,Thais cingulata,
5583,Thais delessertiana,
5587,Thais echinata,
5588,Thais emarginata,
5591,Thais haemastoma,
5592,Thais haemostoma,
5593,Thais harpa,
5595,Thais intermedia,
5596,Thais kieneri,
5599,Thais lacunosus,
5600,Thais lamellosa,
5602,Thais lapillus,
5603,Thais lima,
5604,Thais melones,
5606,Thais neritoidea,
5608,Thais orbita,
5609,Thais reticulata,
5610,Thais rudolphi,
5611,Thais rustica,
5612,Thais savignyi,
5613,Thais scalaris,
5614,Thais scobina,
5615,Thais speciosa,
5616,Thais squamosa,
5617,Thais textilosa,
5619,Thais triangularis,
5622,Thais wahlbergi,
5625,Thapsia pinguis,
5627,Craspedochiton isipingoensis,
5630,Thelidomus guanensis,
5632,Thiara lobbecki,
5633,Thiara vonamica,
5639,Tibia vaneospira,
5645,Tivela isabelleana,
5670,Toxiclionella elstoni,
5673,Trachycardium flavum,
5675,Trachycardium maculosum,
5677,Trachycardium rubicundum,
5678,Trachycystis aenea,
5679,Trachycystis alcocki,
5680,Trachycystis aulacophora,
5682,Trachycystis bifoveolata,
5684,Trachycystis calorama,
5686,Trachycystis centrifuga,
5687,Trachycystis charybdis,
5689,Trachycystis conisalea,
5691,Trachycystis delicata,
5693,Trachycystis falconi,
5694,Trachycystis ferarum,
5695,Trachycystis fossula,
5697,Trachycystis glebaria,
5700,Trachycystis kincaidi,
5701,Trachycystis knysnaensis,
5703,Trachycystis liricostata,
5704,Trachycystis loveni,
5707,Trachycystis mcdowelli,
5708,Trachycystis minutae,
5709,Trachycystis permeata,
5711,Trachycystis proxima,
5712,Trachycystis pura,
5713,Trachycystis pycnotricha,
5716,Trachycystis sabuletorum,
5717,Trachycystis scolopendra,
5718,Trachycystis sheldonia,
5719,Trachycystis simplex,
5720,Trachycystis somersetensis,
5721,Trachycystis spissicosta,
5722,Trachycystis spissisculpta,
5724,Trachycystis tollini,
5725,Trachycystis trichostiroma,
5726,Trachycystis venatorum,
5727,Trachycystis watsoni,
5729,Trapezium ponderosa,
5732,Trichomya hirsuta,
5741,Tricolia kraussi,
5743,Tricolia striolata,
5749,Trigonephrus ambiguosus,
5753,Trigonephrus namaquensis,
5755,Trigonostoma scalariformis,
5756,Trigonostoma semidisjuncta,
5759,Triodopsis albolabris,
5761,Triphora algoensis,
5771,Trivia aperta,
5773,Trivia californiana,
5774,Trivia costata,
5778,Trivia lathyrus,
5779,Trivia magnidentata,
5784,Trivia pacifica,
5787,Trivia phalacra,
5788,Trivia quadripunctata,
5789,Trivia radians,
5791,Trivia sanguinea,
5792,Trivia solandri,
5794,Trivia verhoefi,
5795,Trochocochlea crassa,
5796,Trochocochlea turbinata,
5799,Trochus concavus,
5802,Trochus longomarginatus,
5804,Trochus nigropunctatus,
5806,Trochus podolicus,
5807,Trochus praecurvilinaetes,
5808,Trochus praermavirensis,
5809,Trochus pseudonmairei,
5810,Trochus sulcopodolicus,
5814,Trophon acceptans,
5815,Trophon ambiguus,
5816,Trophon geversianus,
5817,Trophon jucundus,
5818,Trophonopsis aldicularum,
5824,Tropidophora sarcodes,
5836,Tulbaghinia isomeroides,
5854,Turbo natalensis,
5856,Lunella notalis,
5863,Turbo smaragdus,
5877,Turbonilla pellucida,
5878,Turbonilla producta,
5883,Turbonilla trachealis,
5886,Turris acuta,
5887,Turris amplisulcus,
5889,Turris cingulifera,
5891,Turris elstoni,
5894,Turris saldanhae,
5895,Turris varianilis,
5908,Turritella exoleta,
5910,Turritella goniostoma,
5913,Turritella iredalei,
5914,Turritella krebra,
5917,Turritella rosea,
5926,Tylostia unizonatis,
5927,Tympanotonus fuscatus,
5928,Tympanotonus radula,
5929,Typhis arcuatus,
5930,Tyrannophaedusa bilaterata,
5936,Umbonium zelandica,
5937,Umbraculum sinicum,
5939,Ungulina alba,
5941,Unio douglasise,
5943,Unio timidus,
5944,Urocoptis numboldiana,
5950,Vanikoro deshayesiana,
5961,Vasum turbinellum,
5964,Veletuceta flammea,
5972,Venerupis japonica,
5974,Venerupis pullastra,
5976,Venerupis straminea,
5981,Veocollonia ponsonbyi,
5983,Vermetus corallinaceus,
5984,Vermetus natalensis,
5988,Vexillum aureolatum,
5989,Vexillum bathyraphe,
5990,Vexillum canaliculatum,
5991,Vexillum capense,
5992,Vexillum capensis,
5993,Vexillum caudiculata,
5995,Vexillum costellaris,
5997,Vexillum cumingi,
5999,Vexillum euzonatum,
6001,Vexillum festivum,
6003,Vexillum kowieense,
6009,Vexillum osidiris,
6011,Vexillum plicarium,
6012,Vexillum rhodarion,
6022,Vivipara nitutextus,
6023,Volachlamys cumingii,
6025,Voluta barnardi,
6028,Volutocorbis abyssicola,
6029,Volutocorbis boswellae,
6030,Volutocorbis gilchristi,
6031,Volutocorbis kilburni,
6032,Volutocorbis lutosa,
6033,Volutocorbis semirugata,
6034,Volutopsis laryillierti,
6035,Volva birostris,
6037,Volva nectaria,
6044,Volvarinella brocktoni,
6045,Vulsella aerolatus,
6046,Vulsella americana,
6047,Vulsella demissa,
6049,Vulsella modiolus,
6050,Wainuia urnula,
6052,Xancus angulatus,
6053,Xancus pyrum,
6062,Xenostrobus securis,
6063,Xenuroturris cingulifera,
6065,Zaria australis,
6066,Zaria duplicata,
6067,Zaria fulminata,
6068,Zaria symmetrica,
6073,Zeacumantus tristis,
6075,Zediloma arida,
6076,Zediloma atrovirens,
6077,Zediloma coracina,
6079,Zediloma lugubris,
6080,Zediloma subrostrata,
6086,Zonitoides nitida,
6087,Lottia fenestrata cribaria,
6088,Lottia fenestrata fenestrata,
6090,Aequipecten gibbus gibbus,
6091,Afrorhytida kraussi kraussi,
6092,Afrorhytida kraussi oraria,
6093,Dendrofissurella scutellum dubia,
6094,Dendrofissurellum scutellum hiantula,
6095,Anachis kraussi kitchingi,
6096,Anadara lienosa floridana,
6097,Anodonta grandis footiana,
6098,Anodonta grandis gigantea,
6099,Lithopoma americana imbricata,
6100,Astraea tecta americana,
6102,Benthoclionella jenneri visagei,
6103,Buccinanops vittatum vittatum,
6105,Bulla striata amygdala,
6108,Burnupena papyracea limbosa,
6109,Burnupena papyracea papyracea,
6113,Busycon perversum eliceans,
6114,Calliostoma punctulatum urbanior,
6115,Camaena monochroa palawanensis,
6116,Capitina schaerfiae calcicola,
6117,Cardita mera affinis,
6118,Cassis madagascariensis madagascariensis,
6122,Cerithidea negewischi californica,
6125,Charopa coma globosa,
6126,Chicoreus pomum margaritensis,
6128,Chlamys farreri nipponensis,
6129,Clathrodrillia incisa ophioderma,
6130,Clionella sinuata sinuata,
6132,Clionella subventricosa subventricosa,
6133,Clypeomorus petrosa isseli,
6134,Cochlitoma zebra fulgurata,
6135,Coelatura aegyptiaca gabonensis,
6136,Coelatura aegyptiaca stuhlmanni,
6138,Conus algoensis scitulus,
6139,Conus algoensis simplex,
6141,Conus biliosus meyeri,
6143,Conus mozambicus lautus,
6144,Conus musicus ceylanensis,
6145,Conus natalis gilchristi,
6147,Conus pennaceus omaria,
6148,Conus pictus transkeiana,
6149,Conus scittulus simplex,
6152,Crepidula convexa glauca,
6155,Turritriton gibbosus adairensis,
6159,Mauritia arabica arabica,
6160,Mauritia eglantina eglantina,
6161,Mauritia arabica immanis,
6164,Erronea caurica caucira,
6165,Erronea caurica dracena,
6166,Erronea caurica elongata,
6167,Erronea caurica longior,
6168,Pustularia cicercula lienardi,
6170,Palmadusta clandestina passerina,
6172,Palmadusta diluculum diluculum,
6173,Palmadusta diluculum virginalis,
6174,Cypraeovula edentula nahoonensis,
6175,Erronea ovum chrysostoma,
6177,Purpuradusta gracilis macula,
6178,Cypraea helvola argella,
6181,Naria helvola mascarena,
6183,Naria miliaris differens,
6184,Naria miliaris nishibati,
6185,Luria isabella lemuriana,
6186,Bistolida kieneri kieneri,
6187,Staphylaea limacina clarissa,
6189,Luria lurida oceanica,
6190,Cypraea mauritiana mauritiana,
6191,Mauritia mauritiana regina,
6192,Monetaria moneta icterina,
6193,Cypraea nucleus madagascariensis,
6194,Cypraea onyx adusta,
6195,Erronea onyx onyx,
6196,Bistolida owenii vasta,
6197,Naria spurca acicularis,
6198,Cypraea spurca atlantica,
6199,Naria spurca santaehelenae,
6200,Naria spurca spurca,
6201,Staphylaea staphylaea nolani,
6204,Cypraeovula coronata gabrielli,
6207,Demoulia ventricosa ventricosa,
6208,Dendropoma irregularis varians,
6211,Donax variabilis roemeri,
6212,Donax variabilis variabilis,
6213,Dorcasia rogersi maxima,
6216,Drupa serrialis longus,
6217,Elliptio dilatatus sterkii,
6218,Euhadra awaensis vortex,
6220,Euhadra sechenbergiana notoensis,
6223,Kilburnia heynemanni lugubris,
6224,Fossaria modicella rustica,
6225,Fuscinus herithaini albescense,
6226,Fusinus ambustus boerstlerii,
6229,Goniobasis liviescens dipygio,
6230,Gulella elliptica caelatior,
6231,Gulella elliptica tesserula,
6232,Gulella gouldi discriminata,
6233,Gulella gouldi gouldi,
6234,Gulella pentheri ischyrion,
6236,Haliotis ruber improbulum,
6238,Haliotis virginea hottoni,
6240,Heliacus dorsuosus africanus,
6241,Heliacus dorsuosus alfredensis,
6243,Hexaplex radix nigritus,
6245,Homalopoma quantillum quantillum,
6246,Hyridella menziesi depauperata,
6248,Jaton nuttalli albescens,
6250,Lambis chiragra chiragra,
6251,Lambis crocata crocata,
6253,Lambis scorpius scorpius,
6254,Lambis truncata truncata,
6256,Lampsilis siliquoidea rosacea,
6257,Leptodea fragilis lacrustris,
6258,Liguus fasciatus fasciatus,
6259,Lima scabra tenera,
6261,Littorina scabra scabra,
6265,Mactra adansoni decora,
6266,Mactra glabrata glabatra,
6267,Mactrella alata spengleri,
6268,Maculotriton bracteatus bacillus,
6270,Maoricolpus roseus roseus,
6273,Marginella piperata cosmia,
6275,Marginella piperata fuscopincta,
6277,Marginella piperata miniscula,
6278,Marginella piperata monozonia,
6280,Marginella piperata roseolineata,
6281,Marginella piperata scitula,
6283,Marginella volvarina zonata,
6284,Megalophaedusa japonica kobensis,
6285,Megalophaedusa martensi reinana,
6289,Mitra picta picta,
6290,Monadenia fidelis berglica,
6291,Monadenia fidelis callidina,
6292,Monadenia fidelis fidelis,
6293,Monadenia fidelis salmonensis,
6294,Monadenia fidelis setosa,
6295,Monadenia fidelis trinidadensis,
6296,Murex elenensis tricornis,
6297,Murex maurus sauliae,
6298,Murex recurvirostris rubidus,
6300,Nassarius acularis plicatus,
6302,Nassarius mendicus cooperi,
6304,Nassarius pyramidalis pyramidalis,
6305,Natalina cafra amathole,
6306,Natalina cafra cafra,
6307,Natalina cafra eumacta,
6309,Natalina kraussi kraussi,
6310,Natalina quekettiana lucaris,
6313,Natica poliana della,
6314,Natica simplex simplex,
6316,Nerita chamaeleon annulata,
6321,Nucella lapillus albino,
6322,Nucella lapillus fulure,
6324,Nucella lapillus lactea,
6326,Ocenebra poulsoni carpentes,
6332,Oliva carreola bozonalis,
6333,Oliva episcopalis lugubris,
6334,Oliva galiola carneola,
6335,Oliva larmoine rufofulgurata,
6337,Oliva reticulatis olorinella,
6339,Olivella biplicata angelina,
6347,Peristernia forskalii forskalii,
6349,Phalium craticulatum euthyme,
6350,Phalium granulatum centiquadrata,
6351,Phalium granulatum granulatum,
6352,Phalium labiatum iredalei,
6353,Phalium labiatum zeylanicum,
6354,Phalium pyrum finlayi,
6355,Phalium pyrum pyrum,
6356,Phalium pyrum zeylanicum,
6357,Phasianella ventricosa zebra,
6358,Phyllonotus pomum oculatus,
6359,Pila cancaliculatus australis,
6362,Polinices didyma bicolor,
6363,Polinices uber uber,
6364,Polygyra albolabris major,
6365,Polygyra mesodon clausa,
6366,Polygyra mesodon thyroidus,
6367,Polymita brochers brochers,
6374,Powelliphanta gilliesi gilliesi,
6375,Powelliphanta gilliesi kahurangila,
6378,Powelliphanta hochstetteri hochstetteri,
6380,Powelliphanta lignaria lignaria,
6384,Powelliphanta superba provesorum,
6386,Powelliphanta traversi traversi,
6387,Proptera alata megaptera,
6388,Purpura patula pansa,
6390,Pyrene langleyi consanguinea,
6394,Rhysota ovum depressa,
6397,Sheldonia small pale,
6399,Stagnicola palustris elodes,
6400,Strombus aurisdianae aratrum,
6401,Strombus aurisdianae aurisdinae,
6402,Strombus aurisdinae aurisdinae,
6403,Strombus decorus mauritianus,
6404,Strombus dolomena microurceum,
6405,Strombus gibberulus gibbosus,
6406,Strombus granulatus swainson,
6407,Strombus labiatus labiatus,
6408,Strombus labiatus olydius,
6409,Strombus marginatus septirius,
6410,Strombus marginatus succinctus,
6411,Strombus mutabilis ochroglottis,
6413,Strombus pugilis alatus,
6414,Strombus pugilis pugilis,
6415,Strombus vittatus japonicus,
6416,Strombus vittatus vittatus,
6417,Strophocheilus oblongus musculus,
6418,Succinea luteola floridana,
6421,Tellina radiata inimaculata,
6422,Terebra concava vinosa,
6424,Thais haemastoma biserialis,
6425,Thais haemastoma caniculata,
6426,Thais haemastoma floridana,
6427,Thais haemastoma forbesi,
6428,Thais haemastoma haemastoma,
6429,Thais haemostoma haemostoma,
6430,Thais lapillus bizonalis,
6431,Thais lapillus castanea,
6432,Thais scobina albomarginata,
6433,Tibia vaneospira cancellata,
6434,Trachycystis rivularis densenstriata,
6435,Trilobopsis loricata sonomaensis,
6436,Trivia millardi calvareda,
6437,Tropidophora ligata hartivigiana,
6439,Turbo cidaris cidaris,
6441,Turbonilla pellucida affinis,
6442,Turris crispa crispa,
6444,Umbonium moniliferum costatum,
6446,Vasum muricatum coestus,
6447,Vespericola megasoma euthles,
6448,Vexillum ornatum coccineum,
6449,Vexillum vulpecula juicesii,
6451,Viana regina lirata,
6481,Afrodonta bilamellaris londonensis,
6501,Sassia parkinsonia,
6503,Septa hepatica,
6534,Anisoloma Fauxulus sp. n. smooth,
6548,Haliotis rugosa,
6557,Ilanga bicarinata,
6599,Dendrofissurellum scutellum scutellum,
15894,Trachycystis hairy sp. 1,
15912,Trachycystis SE sp. 1,
15913,Trachycystis SE sp. 2,
15914,Trachycystis FF small,
15917,Trachycystis patera,
15921,Microkerkus maseruensis,
15922,Euonyma siliqua,
15923,Trachycystis ordinaria,
15928,Lymnaea truncatula,