taxonid,fullname,Author,source
2624,Conus pulicarius,"Hwass in Bruguière, 1792",Catalogue of Life
2625,Conus puncticulatus,"Hwass in Bruguière, 1792",Catalogue of Life
2626,Conus purpurascens,"G. B. Sowerby I, 1833",Catalogue of Life
2629,Conus rattus,"Hwass in Bruguière, 1792",Catalogue of Life
2631,Conus retifer,"Menke, 1829",Catalogue of Life
2632,Conus sanguinolentus,"Quoy & Gaimard, 1834",Catalogue of Life
2634,Conus scalptus,"Reeve, 1843",Catalogue of Life
2635,Conus scittulus,,
2637,Conus sennottorum,"Rehder & Abbott, 1951",Catalogue of Life
2638,Conus sieboldii,"Reeve, 1848",Catalogue of Life
2639,Conus simplex,"G. B. Sowerby II, 1858",Catalogue of Life
2640,Conus sponsalis,"Hwass in Bruguière, 1792",Catalogue of Life
2642,Conus stearnsii,"Conrad, 1869",Catalogue of Life
2644,Conus striatus,"Linnaeus, 1758",Catalogue of Life
2647,Conus suturatus,"Reeve, 1844",Catalogue of Life
2648,Conus teramachii,"(Kuroda, 1956)",Catalogue of Life
2649,Conus tessulatus,"Born, 1778",Catalogue of Life
2650,Conus textile,"Linnaeus, 1758",Catalogue of Life
2652,Conus tinianus,"Hwass in Bruguière, 1792",Catalogue of Life
2653,Conus tornatus,"G. B. Sowerby I, 1833",Catalogue of Life
2654,Conus tulipa,"Linnaeus, 1758",Catalogue of Life
2655,Conus typhon,"Kilburn, 1975",Catalogue of Life
2659,Conus vexillum,"Gmelin, 1791",Catalogue of Life
2660,Conus victoriae,"Reeve, 1843",Catalogue of Life
2662,Conus virgo,"Linnaeus, 1758",Catalogue of Life
2663,Conus vittatus,"Hwass in Bruguière, 1792",Catalogue of Life
2665,Conus ximenes,"Gray, 1839",Catalogue of Life
2666,Conus zeylanicus,"Gmelin, 1791",Catalogue of Life
2668,Coralliobia neritoidea,,
2669,Coralliobia violacea,"Cernohorsky, 1972",
2691,Cotonopsis turturina,,
2692,Couthouyia mzambana,"Kilburn, 1977",Catalogue of Life
2693,Couthouyia pasithea,"Kilburn, 1977",Catalogue of Life
2695,Crassatella burnupi,"Lamy, 1920",Catalogue of Life
2696,Crassatella foveolata,"G. B. Sowerby II, 1870",Catalogue of Life
2697,Crassatella verconis,,
2698,Crassatina crebilirata,,
2699,Crassatina sowerbyi,"(Lamy, 1917)",Catalogue of Life
2705,Crassispira layardi,"(G. B. Sowerby III, 1897)",Catalogue of Life
2709,Crassostrea arborea,,
2713,Crenavolva rosewateri,"C. N. Cate, 1973",Catalogue of Life
2719,Crepidula immersa,"Angas, 1865",Catalogue of Life
2727,Cronia fenestrata,"(Blainville, 1832)",
2728,Cronia heptagonalis,"(Reeve, 1846)",Catalogue of Life
2729,Cronia margariticola,"(Broderip in Broderip & Sowerby, 1833)",Catalogue of Life
2730,Cronia marginatra,"(Blainville, 1832)",Catalogue of Life
2731,Cronia nodosa,,
2732,Cronia ochrostoma,"(Blainville, 1832)",Catalogue of Life
2745,Curvella majubana,"Connolly, 1910",Catalogue of Life
2746,Curvella succinea,"Burnup, 1905",Catalogue of Life
2748,Cyathopoma camerunense,"de Winter, 2002",Catalogue of Life
2753,Cyclonassa neritea,"(Linnaeus, 1758)",WoRMS
2757,Cyclostoma ligatum,,
2761,Cylichnella smithi,,
2764,Ranularia boschi,"(Abbott & Lewis, 1970)",Catalogue of Life
2770,Cymatium cynocephalum,"(Lamarck, 1816)",Catalogue of Life
2771,Ranularia dunkeri,"(Lischke, 1868)",Catalogue of Life
2774,Cymatium gemmatum,"(Reeve, 1844)",Catalogue of Life
2776,Cymatium hepaticum,"(Röding, 1798)",Catalogue of Life
2785,Cymatium pyrum,"(Linnaeus, 1758)",Catalogue of Life
2786,Ranularia retusum,,
2787,Cymatium rubeculum,"(Linnaeus, 1758)",Catalogue of Life
2788,Cymatium spengleri,"(Perry, 1811)",Catalogue of Life
2789,Cymatium trilineatum,,
2791,Cymatium waterhousei,"(A. Adams & Angas, 1864)",Catalogue of Life
2795,Cymbiola hunteri,(Iredale),MCZbase
2799,Cymbiola norrissi,,
2810,Cymia carinifera,"(Lamarck, 1822)",Catalogue of Life
2811,Cynisca alfredensis,"Bartsch, 1915",Catalogue of Life
2812,Cynisca forticostata,"E. A. Smith, 1904",Catalogue of Life
2813,Cynisca granulosa,"(Dunker, 1848)",Catalogue of Life
2814,Cyphoma gibbosa,"(Linnaeus, 1758)",Catalogue of Life
2816,Schilderia achatidea,"(J. E. Gray, 1837)",Catalogue of Life
2818,Cypraeovula alfredensis,"(Schilder & Schilder, 1929)",Catalogue of Life
2821,Notocypraea angustata,"(Gmelin, 1791)",Catalogue of Life
2826,Arestorides argus,"(Linnaeus, 1758)",Catalogue of Life
2832,Monetaria caputdraconis,"(Melvill, 1888)",Catalogue of Life
2835,Cypraea carolinensis,"(Conrad, 1841)",
2836,Erronea caurica,"(Linnaeus, 1758)",Catalogue of Life
2839,Macrocypraea cervus,"(Linnaeus, 1771)",Catalogue of Life
2841,Pustularia cicercula,"(Linnaeus, 1758)",Catalogue of Life
2844,Cypraea coffea,"G. B. Sowerby II, 1870",Catalogue of Life
2849,Cribrarula cribraria,"(Linnaeus, 1758)",Catalogue of Life
2850,Cypraeovula cruickshanki,"(Kilburn, 1972)",Catalogue of Life
2851,Erronea cylindrica,"(Born, 1778)",Catalogue of Life
2852,Zoila decipiens,"(E. A. Smith, 1880)",Catalogue of Life
2855,Cryptocypraea dillwyni,"(F. A. Schilder, 1922)",Catalogue of Life
2864,Zoila friendii,"(J.E. Gray, 1831)",Catalogue of Life
2868,Naria gangranosa,"(Dillwyn, 1817)",Catalogue of Life
2872,Cypraea helvola,"Linnaeus, 1758",Catalogue of Life
2874,Umbilia hesitata,"(Iredale, 1916)",Catalogue of Life
2884,Luria lurida,"(Linnaeus, 1758)",Catalogue of Life
2887,Cypraea macula,"Angas, 1867",Catalogue of Life
2892,Cypraeovula mikeharti,"Lorenz, 1985",Catalogue of Life
2894,Muracypraea mus,"(Linnaeus, 1758)",Catalogue of Life
2895,Naria nebrites,"(Melvill, 1888)",Catalogue of Life
2899,Erronea onyx,"(Linnaeus, 1758)",Catalogue of Life
2900,Erronea ovum,"(Gmelin, 1791)",Catalogue of Life
2902,Erronea pallida,"(J.E. Gray, 1824)",Catalogue of Life
2906,Cypraea pustularia,,
2907,Zonaria pyrum,"(Gmelin, 1791)",Catalogue of Life
2912,Naria spurca,"(Linnaeus, 1758)",Catalogue of Life
2913,Staphylaea staphylaea,"(Linnaeus, 1758)",Catalogue of Life
2914,Trona stercoraria,"(Linnaeus, 1758)",Catalogue of Life
2915,Bistolida stolida,"(Linnaeus, 1758)",Catalogue of Life
2916,Erronea subviridis,"(Reeve, 1835)",Catalogue of Life
2917,Talparia talpa,"(Linnaeus, 1758)",Catalogue of Life
2919,Luria tessellata,"(Swainson, 1822)",Catalogue of Life
2921,Zoila thersites,"(Gaskoin, 1849)",Catalogue of Life
2928,Erronea xanthodon,"(J. E. Gray in G. B. Sowerby I, 1832)",Catalogue of Life
2931,Cypraea zietsmani,"(Liltved & Leroux, 1988)",
2944,Cythara dagama,"Barnard, 1963",Catalogue of Life
2945,Daphnella angusta,,
2948,Daphnella sulcata,"(G. B. Sowerby III, 1892)",Catalogue of Life
2949,Decatopecten bifrons,,
2950,Decatopecten caroli,,
2952,Decatopecten striatus,"(Schumacher, 1817)",Catalogue of Life
2960,Dendropoma formosus,,
2961,Dendropoma irregularis,,
2962,Dendropoma natalensis,,
2963,Dendropoma nigricans,,
2964,Dendropoma spirata,,
2966,Dentalium entalis,"Dentalium (Antalis) entalis Linnaeus, 1758",Catalogue of Life
2967,Dentalium eualdes,"Barnard, 1963",Catalogue of Life
2968,Dentalium inversum,"Deshayes, 1826",Catalogue of Life
2969,Dentalium longitrorsum,"Reeve, 1842",Catalogue of Life
2974,Dentalium vernedei,"G. B. Sowerby II, 1860",Catalogue of Life
2980,Dicaltion orbita,,
2981,Dicaltion scalaris,,
2982,Dicathais scalaris,"(Menke, 1829)",Catalogue of Life
2988,Diodora audax,"(Iredale, 1924)",Catalogue of Life
3006,Diplodonta globularis,,
3016,Divaricella cumingi,"(A. Adams & Angas, 1864)",Catalogue of Life
3017,Divaricella dalliana,"(Vanatta, 1901)",Catalogue of Life
3033,Donax maculata,,
3047,Dorcasia jejmia,,
3048,Dorcasia rogersi,"Connolly, 1915",Catalogue of Life
3060,Dosinia juvensis,,
3061,Dosinia lincta,"(Pulteney, 1799)",Catalogue of Life
3062,Dosinia lupinus,"(Linnaeus, 1758)",Catalogue of Life
3065,Dosinula zelandica,Gray,MCZbase
3071,Drillia fultoni,"(G. B. Sowerby III, 1888)",Catalogue of Life
3077,Drupa anaxares,"(Kiener, 1836)",WoRMS
3078,Drupa aspera,"(Lamarck, 1816)",Catalogue of Life
3079,Drupa biconica,"(Blainville, 1832)",Catalogue of Life
3080,Drupa cornus,"Röding, 1798",Catalogue of Life
3081,Drupa decollata,,
3082,Drupa ferruginosa,,
3083,Drupa fiscella,"(Gmelin, 1791)",WoRMS
3085,Drupa granulata,"(Duclos, 1832)",Catalogue of Life
3092,Drupa nodulosa,"(C. B. Adams, 1845)",WoRMS
3093,Drupa porphrostoma,,
3096,Drupa serrialis,,
3097,Drupa uva,"Röding, 1798",Catalogue of Life
3099,Drupella elata,"Blainville, 1832",MCZbase
3100,Drupella mancinella,"(Linnaeus, 1758)",Catalogue of Life
3102,Drupella spectrum,,
3105,Euterebra capensis,"(E. A. Smith, 1873)",Catalogue of Life
3107,Duplicaria dussumieri,[sic],Catalogue of Life
3114,Echininus nodulosus,"Clench & Abbott, 1942",Catalogue of Life
3119,Electroma georgiana,"J. R. C. Quoy & J. P. Gaimard, 1835",MCZbase
3122,Elisolimax flavescens,"(Keferstein, 1866)",Catalogue of Life
3123,Elliptio complanatus,"( [Lightfoot] , 1786)",Catalogue of Life
3124,Elliptio coruscus,"(Gould, 1856)",Catalogue of Life
3126,Elliptio dilatatus,"(Rafinesque, 1820)",Catalogue of Life
3132,Emozamia flindersi,"(A. Adams & Angas, 1864)",Catalogue of Life
3133,Endodonta whileleggei,,
3134,Engina billeheusti,,
3145,Ephippodonta macdougalli,[sic],WoRMS
3151,Epitonium bullatum,"(G. B. Sowerby II, 1844)",Catalogue of Life
3153,Epitonium cirsotrema,,
3155,Epitonium commutatum,"(Monterosato, 1877)",Catalogue of Life
3158,Epitonium durbanense,,
3160,Epitonium georgetlina,,
3170,Epitonium perplexum,"(Pease, 1868)",WoRMS
3180,Epitonium tongaatense,,
3183,Erato vitellina,"Hinds, 1844",Catalogue of Life
3197,Euchelus atratus,"(Gmelin, 1791)",Catalogue of Life
3203,Eudolium pyriforme,"(G. B. Sowerby III, 1914)",Catalogue of Life
3204,Eudolium pyriformis,Sowerby,MCZbase
3206,Euhadra amaliae,"(Kobelt, 1875)",Catalogue of Life
3208,Euhadra hickons,,
3210,Euhadra sechenbergiana,,
3211,Eulima algoensis,"E. A. Smith, 1901",Catalogue of Life
3212,Eulima becki,"W. H. Turton, 1932",Catalogue of Life
3213,Eulima dilecta,"E. A. Smith, 1899",Catalogue of Life
3216,Eulima insignis,"W. H. Turton, 1932",Catalogue of Life
3217,Eulima natalensis,"E. A. Smith, 1899",Catalogue of Life
3219,Eulima vitrea,"A. Adams, 1854",Catalogue of Life
3221,Eumarcia kochi,,
3224,Euonyma barnadi,,
3225,Euonyma cacuminata,"(Melvill & Ponsonby, 1892)",Catalogue of Life
3226,Euonyma decipiens,"Connolly, 1929",Catalogue of Life
3229,Euonyma natalensis,"(Burnup, 1905)",Catalogue of Life
3231,Euonyma purcelli,"(Melvill & Ponsonby, 1901)",Catalogue of Life
3234,Euonyma turriformis,"(F. Krauss, 1848)",Catalogue of Life
3239,Eupleura plicatula,,
3241,Euruthria ponsobyi,,
3244,Euthria ponsonbyi,"G. B. Sowerby III, 1890",Catalogue of Life
3245,Euthria queketti,"E. A. Smith, 1901",Catalogue of Life
3246,Fasciolaria australasia,Perry,MCZbase
3247,Fasciolaria coronata,"Lamarck, 1822",Catalogue of Life
3248,Fasciolaria filamentosa,"(Röding, 1798)",Catalogue of Life
3251,Kilburnia heynemanni,"(Dunker, 1876)",Catalogue of Life
3256,Fasciolaria rutila,"R. B. Watson, 1882",Catalogue of Life
3258,Fasciolaria trapezium,"(Linnaeus, 1758)",Catalogue of Life
3261,Fassarus inflatus,,
3264,Fauxulus kurrii,"(F. Krauss in L. Pfeiffer, 1842)",Catalogue of Life
3269,Anisoloma squat,,
3277,Ficus decussatus,Wood,MCZbase
3280,Ficus subintermedius,[sic],Catalogue of Life
3294,Flavamussium caducum,,
3297,Fossaria modicella,"(Say, 1825)",Catalogue of Life
3298,Fragum medium,,
3300,Fukama perfecta,"(E. A. Smith, 1904)",Catalogue of Life
3301,Fulgoraria delicata,"Fulgoraria (Saotomea) delicata (Fulton, 1940)",Catalogue of Life
3303,Fulvia papyracea,"(Bruguière, 1789)",WoRMS
3304,Fuscinus herithaini,,
3305,Fusconaia ebenus,"(I. Lea, 1834)",Catalogue of Life
3307,Fusconaia rubida,"(I. Lea, 1861)",Catalogue of Life
3308,Fusconaia undata,"(Barnes, 1823)",Catalogue of Life
3321,Fusinus faurei,"(Barnard, 1959)",Catalogue of Life
3323,Fusinus longicauda,"(Lamarck, 1801)",Catalogue of Life
3324,Fusinus nicobaricus,"(Röding, 1798)",Catalogue of Life
3325,Fusinus niponicus,"(E. A. Smith, 1879)",Catalogue of Life
3330,Fusinus rubrolineatus,"(G. B. Sowerby II, 1870)",Catalogue of Life
3332,Fusinus simplex,,
3335,Fusinus toreuma,"(Deshayes, 1843)",Catalogue of Life
3336,Fusinus tubercularis,,
3337,Fusinus verruculatus,,
3352,Gari hodgei,"Willan, 1980",Catalogue of Life
3360,Gemmula deshayesii,"(Doumet, 1840)",Catalogue of Life
3363,Gemmula unedo,"(Kiener, 1839)",Catalogue of Life
3365,Gena planulata,"(Lamarck, 1816)",Catalogue of Life
3366,Gena varia,"A. Adams, 1850",Catalogue of Life
3376,Gibbula richardi,"(Payraudeau, 1826)",Catalogue of Life
3378,Gibbula umbilicatis,,
3382,Gittenedouardia conulus,"(L. Reeve, 1849)",Catalogue of Life
3384,Gittenedouardia drakensbergensis,"(E.A. Smith, 1877)",Catalogue of Life
3385,Gittenedouardia meridionalis,"(L. Pfeiffer, 1848)",Catalogue of Life
3387,Gittenedouardia sordidula,"(E. von Martens, 1897)",Catalogue of Life
3391,Glaucus connollyi,,
3394,Glycymeris flabellatus,Ten-Woods,MCZbase
3396,Glycymeris fossar,,
3406,Glycymeris violaceus,,
3407,Glyptenthira accuminata,,
3409,Gomphina veneriformis,"Habe, 1951",
3410,Goniobasis liniescens,,
3411,Goniobasis liviescens,,
3412,Goniobasis ozarkensis,"Call, 1886",Catalogue of Life
3413,Goniobasis potosiensis,"(Lea, 1841)",ITIS
3414,Goniobasis virginica,"(Gmelin, 1791)",Catalogue of Life
3416,Granula bensoni,"(Reeve, 1865)",Catalogue of Life
3417,Granula burnupi,"(G. B. Sowerby III, 1897)",Catalogue of Life
3418,Granula differens,"(E. A. Smith, 1904)",Catalogue of Life
3422,Granulina thalia,"(W. H. Turton, 1932)",Catalogue of Life
3424,Gregariella rietensis,,
3427,Gulella aliciae,"(Melvill & Ponsonby, 1907)",Catalogue of Life
3428,Gulella appletoni,"van Bruggen, 1975",Catalogue of Life
3431,Gulella bomvana,"Cole & Herbert, 2009",Catalogue of Life
3433,Gulella bruggeni,"Cole & Herbert, 2009",Catalogue of Life
3434,Gulella cairnsi,"(Melvill & Ponsonby, 1897)",Catalogue of Life
3435,Gulella calopasa,"(Melvill & Ponsonby, 1903)",Catalogue of Life
3436,Gulella caryatis,"(Melvill & Ponsonby, 1898)",Catalogue of Life
3437,Gulella chi,"Burnup, 1926",Catalogue of Life
3439,Gulella collicola,"van Bruggen, 1966",Catalogue of Life
3440,Gulella columnella,"(Melvill & Ponsonby, 1901)",Catalogue of Life
3441,Gulella connollyi,"(Melvill & Ponsonby, 1909)",Catalogue of Life
3442,Gulella consobrina,"(Ancey, 1892)",Catalogue of Life
3443,Gulella contraria,"Connolly, 1932",Catalogue of Life
3446,Gulella davisae,"Herbert, 2016",Catalogue of Life
3447,Gulella delicatula,"(L. Pfeiffer, 1857)",Catalogue of Life
3450,Gulella drakensbergensis,"(Melvill & Ponsonby, 1893)",Catalogue of Life
3451,Gulella elliptica,"(Melvill & Ponsonby, 1898)",Catalogue of Life
3452,Gulella euthymia,"(Melvill & Ponsonby, 1893)",Catalogue of Life
3453,Gulella falconi,"Burnup, 1925",Catalogue of Life
3456,Gulella framesi,"Burnup, 1926",Catalogue of Life
3459,Gulella hadroglossa,"Herbert, 2016",Catalogue of Life
3460,Gulella hamerae,"Bursey & Herbert, 2004",Catalogue of Life
3461,Gulella harriesi,"Burnup, 1926",Catalogue of Life
3463,Gulella himerothales,"(Melvill & Ponsonby, 1903)",Catalogue of Life
3464,Gulella incurvidens,"van Bruggen, 1972",Catalogue of Life
3469,Gulella johannae,"van Bruggen, 2006",Catalogue of Life
3470,Gulella johannesburgensis,"(Melvill & Ponsonby, 1907)",Catalogue of Life
3471,Gulella juxtidens,"(Melvill & Ponsonby, 1899)",Catalogue of Life
3472,Gulella kosiensis,"(Melvill & Ponsonby, 1908)",Catalogue of Life
3474,Gulella latimerae,"Bursey & Herbert, 2004",Catalogue of Life
3475,Gulella magnolia,"(Connolly, 1912)",Catalogue of Life
3477,Gulella maritzburgensis,"(Melvill & Ponsonby, 1893)",Catalogue of Life
3478,Gulella melvilli,"(Burnup, 1914)",Catalogue of Life
3480,Gulella mfongosiensis,"Burnup, 1925",Catalogue of Life
3482,Gulella mooiensis,"(Burnup, 1914)",Catalogue of Life
3484,Gulella munita,"(Melvill & Ponsonby, 1892)",Catalogue of Life
3486,Gulella nepia,"Connolly, 1925",Catalogue of Life
3487,Gulella newmani,"Bursey & Herbert, 2004",Catalogue of Life
3489,Gulella obstructa,"van Bruggen, 1965",Catalogue of Life
3490,Gulella orientalis,"Connolly, 1929",Catalogue of Life
3491,Gulella penningtoni,"Burnup, 1925",Catalogue of Life
3492,Gulella pentheri,"(Sturany, 1898)",Catalogue of Life
3495,Gulella phragma,"(Melvill & Ponsonby, 1907)",Catalogue of Life
3498,Gulella polita,"(Melvill & Ponsonby, 1893)",Catalogue of Life
3499,Gulella pondoensis,"Connolly, 1939",Catalogue of Life
3501,Gulella premnodes,"(Sturany, 1902)",Catalogue of Life
3503,Gulella queketti,"(Melvill & Ponsonby, 1896)",Catalogue of Life
3504,Gulella regularis,"(Melvill & Ponsonby, 1893)",Catalogue of Life
3506,Gulella rumpiana,"Connolly, 1932",Catalogue of Life
3508,Gulella separata,"(Sturany, 1898)",Catalogue of Life
3509,Gulella sibasana,"Connolly, 1922",Catalogue of Life
3510,Gulella swaziensis,"Connolly, 1932",Catalogue of Life
3513,Gulella tietzae,"Cole & Herbert, 2009",Catalogue of Life
3515,Gulella tripodium,"Connolly, 1939",Catalogue of Life
3516,Gulella umzimvubuensis,"Burnup, 1925",Catalogue of Life
3517,Gulella verdcourti,"van Bruggen, 1966",Catalogue of Life
3518,Gulella viae,"Burnup, 1925",Catalogue of Life
3519,Gulella warrenii,"(Melvill & Ponsonby, 1903)",Catalogue of Life
3520,Gulella zelota,"(Melvill & Ponsonby, 1907)",Catalogue of Life
3521,Guraleus eucosmia,,
3522,Gyrineum bitubercularis,"Lamarck, 1816",
3530,Haliotis assimilis,"Dall, 1878",ITIS
3532,Haliotis camchattana,,
3534,Haliotis conicopora,"Péron, 1816",Catalogue of Life
3536,Haliotis cracherodii,"Leach, 1814",Catalogue of Life
3540,Haliotis emmae,"Reeve, 1846",Catalogue of Life
3558,Haliotis sieboldii,"Reeve, 1846",Catalogue of Life
3561,Haliotis speciosa,"Reeve, 1846",Catalogue of Life
3586,Hastula lauta,"(Pease, 1869)",Catalogue of Life
3587,Impages maryleeae,"(R. D. Burch, 1965)",Catalogue of Life
3588,Hastula natalensis,"(E. A. Smith, 1903)",Catalogue of Life
3591,Hastula strigilata,"(Linnaeus, 1758)",Catalogue of Life
3597,Helcion infundibuliformis,,
3601,Heliacus africanus,"Bartsch, 1915",WoRMS
3613,Helisoma macrostomum,,
3615,Helix aspersa,"Helix (Pomatia) aspersa O. F. Müller, 1774",Catalogue of Life
3616,Helix hortensia,,
3618,Helix lapicida,"Linnaeus, 1758",Catalogue of Life
3619,Helix melantozona,,
3620,Helix planulata,"Lamarck, 1822",Catalogue of Life
3621,Helix sophiae,"Reeve, 1854",Catalogue of Life
3622,Hemicardium cardissa,"Melvill & Standen, 1899",
3623,Hemicardium hemicardium,L.,MCZbase
3624,Hemifusus pugilinus,"(Born, 1778)",Catalogue of Life
3627,Hemifusus wardiana,,
3628,Hemitrochus varians,"(Menke, 1829)",Catalogue of Life
3631,Herse columnella,"(Rang, 1827)",Catalogue of Life
3638,Hexaplex hoplites,,
3639,Hexaplex octogonus,,
3649,Hindsia gracilis,,
3650,Hinitia pallida,,
3652,Hinnites giganteus,"(J.E. Gray, 1825)",Catalogue of Life
3668,Hustolima nimbifera,,
3669,Hyalina avena,"(Kiener, 1834)",Catalogue of Life
3670,Hyalina biannulata,,
3671,Hyalina capensis,,
3676,Hyalina melita,,
3677,Hyalina neglecta,,
3679,Hyalina veliei,"(Pilsbry, 1896)",Catalogue of Life
3680,Hydatina amplustre,"(Linnaeus, 1758)",Catalogue of Life
3688,Hyotissa numisma,"(Lamarck, 1819)",Catalogue of Life
3690,Hyria corrugata,"Lamarck, 1819",Catalogue of Life
3691,Hyridella menziesi,"(Gray, 1843)",Catalogue of Life
3696,Indocrassatella abrupta,,
3698,Iravadia annulata,,
3699,Iridina pfeifferiana,,
3701,Chambardia wahlbergi,"(F. Krauss, 1848)",Catalogue of Life
3719,Jaton folata,,
3720,Jaton nuttalli,,
3723,Kaliella euconuloides,"Melvill & Ponsonby, 1908",Catalogue of Life
3724,Kanekotrochus comtess,,
3725,Katelysia corrugata,Lam,MCZbase
3732,Kerkophorus piperatus,"Herbert, 2017",Catalogue of Life
3736,Labiosa plicatella,"(Lamarck, 1818)",
3742,Laevicaulis alte,"(Férussac, 1822)",Catalogue of Life
3746,Lambis digitata,"(Perry, 1811)",Catalogue of Life
3753,Lampsilis claibornensis,"Lampsilis (Eurynia) claibornensis (I. Lea, 1839)",Catalogue of Life
3754,Lampsilis fallaciosa,"(H. M. Smith, 1899)",Catalogue of Life
3757,Lampsilis ventricosa,"(Barnes, 1823)",Catalogue of Life
3758,Lamya capensis,"(Krauss, 1848)",Catalogue of Life
3759,Lanistes occidentalis,,
3770,Latiaxis japonicus,"(Dunker, 1882)",Catalogue of Life
3771,Latiaxis kawamurai,"Kira, 1959",Catalogue of Life
3772,Latiaxis lischkeanus,"(Dunker, 1882)",Catalogue of Life
3774,Latiaxis nakamigawai,"Kuroda, 1959",Catalogue of Life
3777,Latirus bairstowi,"G. B. Sowerby III, 1886",Catalogue of Life
3779,Latirus cariniferus,"(Lamarck, 1816)",Catalogue of Life
3780,Latirus ceratus,"Wood, 1828",MCZbase
3781,Latirus craticulatus,"(Linnaeus, 1758)",Catalogue of Life
3784,Latirus infundibulum,"(Gmelin, 1791)",Catalogue of Life
3785,Latirus macgintyi,"Poirier, 1954",WoRMS
3786,Latirus nodatus,"(Gmelin, 1791)",Catalogue of Life
3790,Latirus rudis,"(Reeve, 1847)",Catalogue of Life
3793,Lauria cryptoplax,"(Melvill & Ponsonby, 1899)",Catalogue of Life
3797,Lavigeria jouberti,Bgt.,MCZbase
3798,Lavigeria paucicostata,"(E. A. Smith, 1881)",Catalogue of Life
3799,Lavigeria spinosa,,
3800,Lepsiella scobina,"(Quoy & Gaimard, 1833)",Catalogue of Life
3803,Leucozonia cingulata,"(Lamarck, 1816)",
3808,Lienardia shepstonensis,,
3809,Lienardia subcontracta,,
3810,Lienardia westcotti,,
3815,Lima fragilis,"(Gmelin, 1791)",Catalogue of Life
3816,Lima inflata,"Link, 1807",Catalogue of Life
3818,Lima orientalis,"A. Adams & Reeve, 1850",Catalogue of Life
3819,Lima pellucida,"C. B. Adams, 1846",Catalogue of Life
3820,Lima rotundata,"G. B. Sowerby II, 1843",Catalogue of Life
3824,Limaria nimbifera,,
3831,Limopsis multishiatus,,
3834,Linatella clandestina,"(Lamarck, 1816)",Catalogue of Life
3837,Linicardium papyraceum,,
3842,Liotia australis,Kiener,MCZbase
3843,Liotia depressa,Reeve,MCZbase
3844,Liotia discoidea,Reeve,MCZbase
3845,Liotia tasmanica,T. Woods,MCZbase
3847,Lippistes helicoides,"(Gmelin, 1791)",WoRMS
3850,Litharium algoensis,[sic],Catalogue of Life
3856,Litozamia petterdi,,
3858,Littorina angulifera,"(Lamarck, 1822)",Catalogue of Life
3860,Littorina fasciata,"Gray, 1839",Catalogue of Life
3861,Littorina irrorata,"(Say, 1822)",Catalogue of Life
3867,Littorina obesa,"G. B. Sowerby I, 1832",Catalogue of Life
3871,Littorina pintado,"(Wood, 1828)",Catalogue of Life
3873,Littorina punctata,"Littorina (Austrolittorina) punctata (Gmelin, 1791)",Catalogue of Life
3878,Littorina undulata,"d'Orbigny, 1841",Catalogue of Life
3879,Littorina ziczac,"(Gmelin, 1791)",Catalogue of Life
3885,Lophiotoma cingulifera,"(Lamarck, 1822)",Catalogue of Life
3890,Loripes rosacea,"E. A. Smith, 1899",Catalogue of Life
3896,Lucina floridana,"Conrad, 1833",Catalogue of Life
3897,Lucina muricata,"Reeve, 1850",Catalogue of Life
3898,Lucina nassula,"Conrad, 1846",Catalogue of Life
3900,Lucina pedinatus,,
3901,Lucina pennsylvani,,
3903,Lunatia catena,"(da Costa, 1778)",Catalogue of Life
3908,Lunella smaragda,"(Gmelin, 1791)",Catalogue of Life
3913,Lymnaea columella,"Lymnaea (Pseudosuccinea) columella (Say, 1817)",Catalogue of Life
3914,Lymnaea luteola,"Lamarck, 1822",Catalogue of Life
3924,Lyropecten luculentus,,
3929,Macoma crawfordi,"(G. B. Sowerby III, 1892)",Catalogue of Life
3930,Macoma deltoidalis,Lamarck,MCZbase
3932,Macoma incograva,,
3937,Macoma stratula,,
3938,Macoma tristis,,
3939,Macomona liliana,"(Iredale, 1915)",Catalogue of Life
3942,Macroschisma africana,"Tomlin, 1932",Catalogue of Life
3947,Mactra adansoni,[sic],WoRMS
3952,Mactra discors,"J.E. Gray, 1837",Catalogue of Life
